	4275	4277	4279	4280	4280a	4281
ENSG00000000003	23	30	11	43	31	8
ENSG00000000005	0	0	0	0	2	0
ENSG00000000419	778	910	838	911	1113	1051
ENSG00000000457	378	438	441	772	738	389
ENSG00000000460	44	51	58	61	65	28
ENSG00000000938	14575	21109	7164	11710	11846	27759
ENSG00000000971	30	23	94	151	148	68
ENSG00000001036	54	89	105	77	69	50
ENSG00000001084	213	206	333	419	384	180
ENSG00000001167	546	589	452	407	373	561
ENSG00000001460	58	44	60	68	52	21
ENSG00000001461	660	653	815	1052	884	216
ENSG00000001497	694	693	994	1127	1168	492
ENSG00000001561	304	308	512	468	529	330
ENSG00000001617	310	366	418	436	447	300
ENSG00000001626	0	0	0	2	0	0
ENSG00000001629	794	850	1149	1202	1006	503
ENSG00000001630	17	23	26	21	17	10
ENSG00000001631	449	432	653	477	406	214
ENSG00000002016	78	76	94	96	90	47
ENSG00000002079	0	1	0	2	1	2
ENSG00000002330	804	1218	663	771	945	1534
ENSG00000002549	701	1252	1318	2678	2764	1975
ENSG00000002586	2042	2326	3178	3693	4131	2503
ENSG00000002587	1	8	5	6	0	3
ENSG00000002726	0	10	5	6	9	4
ENSG00000002745	1	2	14	2	1	6
ENSG00000002746	0	1	1	0	1	0
ENSG00000002822	1129	1298	844	1325	1469	616
ENSG00000002834	8998	17442	4609	4771	4315	9163
ENSG00000002919	399	777	382	330	358	768
ENSG00000002933	40	54	87	80	85	66
ENSG00000003056	1502	1802	1651	2240	2434	1282
ENSG00000003096	9	20	18	12	8	9
ENSG00000003137	3	186	41	1	1	455
ENSG00000003147	20	45	21	40	35	70
ENSG00000003249	8	11	4	14	7	3
ENSG00000003393	281	332	342	270	235	216
ENSG00000003400	707	893	873	888	840	363
ENSG00000003402	8188	11162	9902	10392	8717	8276
ENSG00000003436	38	28	32	9	16	13
ENSG00000003509	371	409	542	619	596	367
ENSG00000003756	2386	2762	3284	4003	3775	2358
ENSG00000003987	0	1	0	1	1	0
ENSG00000003989	0	0	1	1	1	0
ENSG00000004059	1674	2179	1455	1806	2026	2617
ENSG00000004139	375	604	831	1131	897	212
ENSG00000004142	1047	1236	1072	1125	1022	852
ENSG00000004399	1216	1370	2765	2100	1754	851
ENSG00000004455	1377	2137	1421	1916	2052	1836
ENSG00000004468	230	285	596	371	313	133
ENSG00000004478	316	441	474	577	575	301
ENSG00000004487	1268	1423	1546	1494	1589	861
ENSG00000004534	1397	1473	2331	1978	1798	1051
ENSG00000004660	1450	2010	578	482	469	1579
ENSG00000004700	630	762	847	880	875	551
ENSG00000004766	280	298	390	359	339	194
ENSG00000004776	2	2	4	2	0	2
ENSG00000004777	244	270	355	382	319	194
ENSG00000004779	293	315	355	367	509	308
ENSG00000004799	1	33	12	21	15	16
ENSG00000004809	1	0	1	3	6	2
ENSG00000004838	172	136	151	119	134	171
ENSG00000004846	0	0	0	2	0	0
ENSG00000004848	0	0	0	1	0	0
ENSG00000004864	1095	599	743	1101	1103	861
ENSG00000004866	90	95	155	180	203	72
ENSG00000004897	1775	2050	2213	2284	2183	1376
ENSG00000004939	1	2	2	5	3	6
ENSG00000004948	0	0	1	1	0	0
ENSG00000004961	318	390	345	370	421	359
ENSG00000004975	1002	1156	1262	1315	1189	805
ENSG00000005001	8	10	6	8	8	0
ENSG00000005007	3343	4153	3440	3919	3645	2747
ENSG00000005020	249	213	172	138	154	199
ENSG00000005022	2607	3557	3496	3827	4736	3762
ENSG00000005059	1272	1267	1134	1346	1446	897
ENSG00000005073	1	0	6	0	0	0
ENSG00000005075	955	1198	734	936	959	1365
ENSG00000005100	187	232	287	219	184	111
ENSG00000005102	0	5	1	8	11	8
ENSG00000005108	2	1	5	0	0	1
ENSG00000005156	204	329	495	545	465	153
ENSG00000005175	714	1449	512	706	699	1356
ENSG00000005187	158	293	209	161	116	99
ENSG00000005189	10	10	18	8	14	7
ENSG00000005194	606	688	681	756	841	590
ENSG00000005206	3384	4219	4608	3905	3669	2673
ENSG00000005238	2654	4542	1214	1184	1145	3420
ENSG00000005243	1	7	19	11	15	12
ENSG00000005249	235	231	65	45	43	69
ENSG00000005302	3427	2951	3457	3094	3024	1848
ENSG00000005339	7519	8754	9421	6093	4030	3218
ENSG00000005379	2496	2178	4533	4086	3878	2381
ENSG00000005381	21	95	162	380	409	133
ENSG00000005421	0	0	0	0	0	0
ENSG00000005436	222	224	351	347	331	203
ENSG00000005448	424	404	792	1160	1165	530
ENSG00000005469	135	111	134	194	230	95
ENSG00000005471	44	89	54	30	29	19
ENSG00000005483	11521	12628	14376	14584	11672	8666
ENSG00000005486	6730	7996	6337	7823	8339	6160
ENSG00000005513	246	462	308	342	335	142
ENSG00000005700	818	969	1338	1057	1087	500
ENSG00000005801	264	326	366	417	408	213
ENSG00000005810	2994	4010	5006	4365	3196	1385
ENSG00000005812	1995	1941	1897	1930	1853	1626
ENSG00000005844	3315	4628	8466	7991	6957	4533
ENSG00000005882	224	217	247	201	228	108
ENSG00000005884	31	28	51	45	56	32
ENSG00000005889	1069	1203	940	813	729	1037
ENSG00000005893	3049	5040	1310	2205	2197	4081
ENSG00000005961	400	306	134	80	86	246
ENSG00000005981	0	0	0	1	1	0
ENSG00000006007	1470	2128	1422	1485	1499	1459
ENSG00000006015	266	319	394	421	534	459
ENSG00000006016	0	0	0	0	1	1
ENSG00000006025	1258	1252	2953	2341	2197	1163
ENSG00000006042	0	0	0	1	1	0
ENSG00000006047	0	3	0	1	0	0
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	1593	2151	2446	2221	1997	862
ENSG00000006071	0	0	0	3	1	0
ENSG00000006116	3	0	0	1	0	0
ENSG00000006118	1	4	4	3	2	3
ENSG00000006125	1640	2064	2028	1878	1735	1132
ENSG00000006128	0	0	0	0	0	1
ENSG00000006194	1458	1646	1254	1020	1020	863
ENSG00000006210	3	3	1	0	0	2
ENSG00000006282	479	572	908	917	961	489
ENSG00000006283	14	20	11	15	11	10
ENSG00000006327	164	310	61	60	79	155
ENSG00000006377	0	0	1	0	2	0
ENSG00000006432	195	273	567	363	281	123
ENSG00000006451	940	1368	1240	1389	1531	979
ENSG00000006453	39	65	56	45	25	58
ENSG00000006459	3985	5066	4709	5145	4035	3296
ENSG00000006468	0	2	3	3	3	2
ENSG00000006530	176	198	440	450	434	273
ENSG00000006534	506	763	348	496	485	566
ENSG00000006555	43	46	121	108	109	45
ENSG00000006576	1017	1196	1219	1490	1388	1141
ENSG00000006606	0	0	0	0	0	0
ENSG00000006607	558	816	950	937	761	422
ENSG00000006611	0	0	0	0	0	0
ENSG00000006625	42	31	52	62	56	44
ENSG00000006634	1122	1060	1383	1532	1521	1171
ENSG00000006638	31	13	14	17	24	4
ENSG00000006652	2499	2725	2259	1906	2116	3356
ENSG00000006659	1	2	0	4	4	2
ENSG00000006695	126	118	129	167	169	65
ENSG00000006704	177	300	329	317	341	140
ENSG00000006712	1725	1861	1711	1635	1698	1538
ENSG00000006715	225	323	272	269	231	170
ENSG00000006740	0	1	2	5	1	1
ENSG00000006744	1011	945	1451	1607	1569	628
ENSG00000006747	6	12	3	3	2	5
ENSG00000006756	19	48	44	35	22	40
ENSG00000006757	50	62	62	97	95	22
ENSG00000006788	0	1	0	1	0	0
ENSG00000006831	945	1755	985	905	876	929
ENSG00000006837	12	11	16	16	22	18
ENSG00000007001	0	1	0	0	0	0
ENSG00000007038	7	17	12	42	28	17
ENSG00000007047	1158	1749	1190	1357	1363	1349
ENSG00000007062	19	25	9	9	10	11
ENSG00000007080	410	738	484	532	641	940
ENSG00000007129	614	571	670	1231	1063	447
ENSG00000007168	3782	4382	3952	4337	4640	4266
ENSG00000007171	13	22	10	17	23	3
ENSG00000007174	0	1	1	2	0	2
ENSG00000007202	3203	4425	5029	4904	4054	1652
ENSG00000007216	0	0	0	0	1	0
ENSG00000007237	914	1619	1230	1138	949	610
ENSG00000007255	164	195	231	272	315	169
ENSG00000007264	416	513	1311	938	1088	1232
ENSG00000007306	1	0	0	0	0	0
ENSG00000007312	422	960	632	472	734	467
ENSG00000007314	31	29	17	33	26	21
ENSG00000007341	257	249	241	280	262	257
ENSG00000007350	427	411	562	475	469	1121
ENSG00000007372	0	0	0	1	1	0
ENSG00000007376	550	581	551	627	627	470
ENSG00000007384	28	32	44	25	37	12
ENSG00000007392	1327	1395	1938	1673	1808	1690
ENSG00000007402	174	223	595	386	317	140
ENSG00000007516	624	416	1416	1717	1642	549
ENSG00000007520	380	506	495	560	677	523
ENSG00000007541	439	573	476	517	601	757
ENSG00000007545	863	795	635	461	447	802
ENSG00000007866	6	7	10	9	6	6
ENSG00000007908	1	0	0	0	0	0
ENSG00000007923	699	717	884	962	855	401
ENSG00000007933	0	1	1	1	0	0
ENSG00000007944	1909	1724	1651	718	755	2060
ENSG00000007952	4	0	4	3	2	3
ENSG00000007968	30	60	38	89	91	26
ENSG00000008018	1811	2479	2251	2457	3028	3221
ENSG00000008056	384	682	276	209	185	306
ENSG00000008083	4201	5028	3319	2197	1884	3162
ENSG00000008086	184	296	189	189	143	184
ENSG00000008118	72	111	51	61	32	247
ENSG00000008128	141	121	143	130	150	113
ENSG00000008130	4435	6907	2503	3460	3349	6501
ENSG00000008196	0	1	0	0	1	0
ENSG00000008197	0	0	0	1	1	0
ENSG00000008226	44	88	56	73	50	42
ENSG00000008256	426	563	789	460	475	470
ENSG00000008277	5	2	14	9	15	2
ENSG00000008282	745	1015	1069	1332	1524	1088
ENSG00000008283	648	697	1113	1012	1081	795
ENSG00000008294	8372	10070	8040	6681	5842	9324
ENSG00000008300	415	471	680	809	767	332
ENSG00000008311	21	18	63	25	34	30
ENSG00000008323	1	1	3	0	2	1
ENSG00000008324	377	435	493	421	609	579
ENSG00000008382	26	34	36	37	44	26
ENSG00000008394	7	21	20	17	21	16
ENSG00000008405	1503	1529	1904	1989	2047	1608
ENSG00000008438	191	621	69	378	419	394
ENSG00000008441	32	60	42	43	46	21
ENSG00000008513	6601	7864	4657	4837	4150	4963
ENSG00000008516	3868	5291	926	1141	1133	5545
ENSG00000008517	971	1336	1496	2797	3498	1634
ENSG00000008710	1566	1809	2396	2162	1792	633
ENSG00000008735	34	58	40	45	43	26
ENSG00000008838	720	746	1053	949	835	461
ENSG00000008853	71	120	96	72	58	45
ENSG00000008869	1217	1332	1955	2145	1622	487
ENSG00000008952	3988	4289	3715	5301	5880	4778
ENSG00000008988	31354	36311	44292	56845	68801	45311
ENSG00000009307	14532	18134	19315	22697	21559	13896
ENSG00000009335	1251	1413	1557	1905	1709	711
ENSG00000009413	939	1288	2369	1459	1234	805
ENSG00000009694	62	44	48	30	16	17
ENSG00000009709	0	0	0	0	0	0
ENSG00000009724	2	4	12	9	8	4
ENSG00000009765	0	0	1	1	1	0
ENSG00000009780	418	488	537	419	395	363
ENSG00000009790	5577	6032	5056	6071	5630	5478
ENSG00000009830	96	110	152	121	83	110
ENSG00000009844	650	683	765	1010	1130	615
ENSG00000009950	44	103	64	21	12	82
ENSG00000009954	2558	2972	3325	3327	2828	1263
ENSG00000010017	2157	2468	2587	2541	2389	1929
ENSG00000010030	248	269	174	392	421	1011
ENSG00000010072	444	582	439	399	414	435
ENSG00000010165	148	221	215	290	280	108
ENSG00000010219	43	52	65	115	96	35
ENSG00000010244	4702	4946	5599	5649	5522	4896
ENSG00000010256	607	741	881	1026	1189	797
ENSG00000010270	340	660	545	391	508	646
ENSG00000010278	476	201	164	61	74	314
ENSG00000010282	2	0	0	0	0	0
ENSG00000010292	1008	958	899	861	840	657
ENSG00000010295	665	745	776	802	658	571
ENSG00000010310	58	117	275	201	172	171
ENSG00000010318	251	242	351	334	370	212
ENSG00000010319	8	9	11	12	13	4
ENSG00000010322	3513	3386	4533	4620	4106	2397
ENSG00000010327	204	524	229	137	145	137
ENSG00000010361	224	252	240	192	229	200
ENSG00000010379	13	12	8	7	18	4
ENSG00000010404	8088	11657	11448	9808	9106	8060
ENSG00000010438	4	12	1	8	12	17
ENSG00000010539	339	484	187	340	379	820
ENSG00000010610	1135	1285	1330	1645	1666	685
ENSG00000010626	132	174	262	298	262	150
ENSG00000010671	163	259	213	131	135	98
ENSG00000010704	2	12	4	11	5	7
ENSG00000010803	405	451	620	654	645	273
ENSG00000010810	9033	7465	13614	12073	11575	7585
ENSG00000010818	6653	9881	7855	7547	5266	4353
ENSG00000010932	0	0	0	0	3	0
ENSG00000011007	728	831	1041	905	856	426
ENSG00000011009	1027	1173	1096	1221	1310	1147
ENSG00000011021	1196	1601	1725	1175	1057	502
ENSG00000011028	44	99	107	147	141	57
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	0	3	2	0	1	0
ENSG00000011105	12	14	7	13	4	6
ENSG00000011114	537	643	771	599	523	390
ENSG00000011132	1516	1496	1752	1972	1948	1726
ENSG00000011143	40	91	86	125	122	33
ENSG00000011198	758	777	251	485	508	1184
ENSG00000011201	6	11	0	1	2	1
ENSG00000011243	3425	3693	3816	4361	4361	2527
ENSG00000011258	1390	1440	1569	1189	1082	846
ENSG00000011260	728	757	833	943	1137	727
ENSG00000011275	5642	5624	6560	7681	6852	3182
ENSG00000011295	693	801	1005	1019	1013	630
ENSG00000011304	2629	3128	3326	3489	3401	2122
ENSG00000011332	4	3	4	2	4	1
ENSG00000011347	0	0	2	2	0	1
ENSG00000011376	99	162	161	238	177	36
ENSG00000011405	1851	2085	2759	2090	1791	1407
ENSG00000011422	11770	14441	4929	9037	10063	38289
ENSG00000011426	14	28	11	47	30	34
ENSG00000011451	659	1082	551	581	515	424
ENSG00000011454	1641	1783	1861	1928	1773	759
ENSG00000011465	0	0	0	0	1	0
ENSG00000011478	301	447	434	379	364	360
ENSG00000011485	253	294	393	388	366	205
ENSG00000011523	1430	1928	1428	2289	2078	683
ENSG00000011566	192	243	275	179	197	111
ENSG00000011590	111	147	343	620	696	235
ENSG00000011600	2517	4365	1712	1705	1916	6780
ENSG00000011638	171	230	219	268	313	220
ENSG00000011677	0	0	0	0	0	0
ENSG00000012048	21	21	13	13	6	11
ENSG00000012061	394	523	476	301	327	356
ENSG00000012124	741	1875	1177	1148	1060	489
ENSG00000012171	212	263	157	161	195	295
ENSG00000012174	102	122	143	167	162	58
ENSG00000012211	218	221	234	395	316	193
ENSG00000012223	1362	5843	2613	22432	21079	4451
ENSG00000012232	841	1440	407	270	258	917
ENSG00000012504	0	0	0	0	0	0
ENSG00000012660	3282	3346	3512	3819	3632	4398
ENSG00000012779	3687	5823	3029	2900	2644	4248
ENSG00000012817	1587	1820	2887	2611	2262	11
ENSG00000012822	1578	1496	2163	2358	2117	1481
ENSG00000012963	626	632	746	889	934	461
ENSG00000012983	1109	1243	2022	1835	1744	919
ENSG00000013016	53	52	44	51	42	3
ENSG00000013275	1565	2034	1791	2013	2103	1804
ENSG00000013288	866	886	1255	1133	904	339
ENSG00000013293	0	0	0	1	1	0
ENSG00000013297	6	4	2	2	2	3
ENSG00000013306	611	879	794	873	864	620
ENSG00000013364	2974	3725	3044	3837	3817	4155
ENSG00000013374	3390	3917	3967	4971	4974	4716
ENSG00000013375	490	593	704	560	558	341
ENSG00000013392	147	169	192	206	234	111
ENSG00000013441	11486	11209	13852	12884	12786	15048
ENSG00000013503	31	45	38	49	26	9
ENSG00000013523	241	342	288	273	246	100
ENSG00000013561	250	332	318	349	367	289
ENSG00000013563	503	649	897	1047	1051	514
ENSG00000013573	444	84	153	191	157	63
ENSG00000013583	146	273	198	137	171	222
ENSG00000013588	24	70	155	36	23	70
ENSG00000013619	106	268	122	61	37	96
ENSG00000013725	11465	11786	9915	14216	14011	6685
ENSG00000013810	2018	2325	1347	1560	1505	1319
ENSG00000014123	1555	1290	1901	1548	1312	1001
ENSG00000014138	177	227	329	392	311	116
ENSG00000014164	1169	1208	829	1180	982	1308
ENSG00000014216	1149	1334	1601	1784	1823	1104
ENSG00000014257	12	65	5	45	33	57
ENSG00000014641	890	982	1237	1461	1730	1060
ENSG00000014824	720	850	963	896	964	531
ENSG00000014914	44	98	64	71	65	54
ENSG00000014919	140	162	200	244	277	127
ENSG00000015133	4576	5070	7316	8235	6230	2388
ENSG00000015153	961	1116	1057	1402	1613	1416
ENSG00000015171	694	844	1002	833	797	402
ENSG00000015285	3784	3980	2510	2968	2756	4372
ENSG00000015413	0	0	0	0	0	0
ENSG00000015475	4119	7575	1126	2158	2558	9741
ENSG00000015479	130	145	249	172	161	142
ENSG00000015520	60	70	40	52	59	21
ENSG00000015532	386	417	525	646	581	212
ENSG00000015568	306	438	504	288	324	181
ENSG00000015592	4	8	2	11	4	5
ENSG00000015676	1137	1317	1430	1624	1491	685
ENSG00000016082	0	0	0	0	0	0
ENSG00000016391	10	3	18	20	18	12
ENSG00000016402	0	1	0	1	0	0
ENSG00000016490	0	0	1	0	1	0
ENSG00000016602	0	0	0	2	0	1
ENSG00000016864	465	618	628	620	654	447
ENSG00000017260	1083	1510	1429	1367	1348	1080
ENSG00000017427	1	1	0	2	1	1
ENSG00000017483	72	93	116	194	168	95
ENSG00000017797	1172	1668	938	1321	1290	1738
